iter	Passed	Remaining
0	0	27
1	0	25
2	0	24
3	0	22
4	1	22
5	1	23
6	1	23
7	2	23
8	2	22
9	2	22
10	2	22
11	2	21
12	3	21
13	3	21
14	3	20
15	3	20
16	4	20
17	4	19
18	4	19
19	4	19
20	5	18
21	5	18
22	5	18
23	5	17
24	5	17
25	6	17
26	6	17
27	6	16
28	6	17
29	7	16
30	7	16
31	7	16
32	8	16
33	8	16
34	8	16
35	8	15
36	9	15
37	9	15
38	9	15
39	9	14
40	10	14
41	10	14
42	10	13
43	10	13
44	10	13
45	11	13
46	11	13
47	11	12
48	12	12
49	12	12
50	12	12
51	12	11
52	13	11
53	13	11
54	13	11
55	13	10
56	14	10
57	14	10
58	14	10
59	15	10
60	15	9
61	15	9
62	16	9
63	16	9
64	16	8
65	16	8
66	17	8
67	17	8
68	17	7
69	18	7
70	18	7
71	18	7
72	18	6
73	19	6
74	19	6
75	19	6
76	19	5
77	20	5
78	20	5
79	20	5
80	20	4
81	21	4
82	21	4
83	21	4
84	21	3
85	22	3
86	22	3
87	22	3
88	22	2
89	23	2
90	23	2
91	23	2
92	24	1
93	24	1
94	24	1
95	24	1
96	25	0
97	25	0
98	25	0
99	26	0
